Day,Start,End,Room
Mo,9:30AM,10:50AM,STEM Building 112
Mo,11:00AM,12:20PM,STEM Building 112
Mo,11:00AM,12:20PM,Forcina Hall 407
Mo,5:30PM,6:50PM,STEM Building 112
Mo,5:30PM,7:30PM,Forcina Hall 424
Mo,12:30PM,1:50PM,Forcina Hall 407
Mo,2:00PM,3:20PM,Forcina Hall 406
Mo,9:30AM,10:50AM,Forcina Hall 407
Mo,9:30AM,10:50AM,Forcina Hall 424
Mo,11:00AM,12:20PM,Forcina Hall 424
Mo,12:30PM,1:50PM,Forcina Hall 424
Mo,2:00PM,3:20PM,Forcina Hall 403
Mo,2:00PM,3:20PM,STEM Building 112
Mo,3:30PM,4:50PM,STEM Building 112
Mo,9:30AM,10:50AM,Forcina Hall 403
Mo,11:00AM,12:20PM,Forcina Hall 403
Mo,12:30PM,1:50PM,Forcina Hall 406
Mo,3:30PM,4:50PM,Forcina Hall 403
Mo,8:00AM,9:20AM,Biology Building 209
Tu,3:30PM,4:50PM,Forcina Hall 403
Tu,3:30PM,4:50PM,Forcina Hall 424
Tu,9:30AM,10:50AM,Forcina Hall 409
Tu,2:00PM,3:20PM,Forcina Hall 424
Tu,11:00AM,12:20PM,Forcina Hall 409
Tu,5:30PM,7:30PM,Forcina Hall 403
Tu,9:30AM,10:50AM,STEM Building 112
Tu,2:00PM,3:20PM,STEM Building 112
Tu,11:00AM,12:20PM,STEM Building 112
Tu,9:30AM,10:50AM,Forcina Hall 403
Tu,11:00AM,12:20PM,Forcina Hall 410
Tu,3:30PM,4:50PM,Forcina Hall 410
Tu,2:00PM,3:20PM,Forcina Hall 410
Tu,2:00PM,3:20PM,Forcina Hall 406
Tu,3:30PM,4:50PM,Forcina Hall 406
Tu,9:30AM,10:50AM,Forcina Hall 406
Tu,3:30PM,4:50PM,STEM Building 112
Tu,9:30AM,12:20PM,Forcina Hall 424
We,2:00PM,3:00PM,STEM Building 112
Th,9:30AM,10:50AM,STEM Building 112
Th,11:00AM,12:20PM,STEM Building 112
Th,5:30PM,6:50PM,STEM Building 112
Th,5:30PM,7:30PM,Forcina Hall 403
Th,2:00PM,3:20PM,Forcina Hall 407
Th,9:30AM,10:50AM,Forcina Hall 407
Th,11:00AM,12:20PM,Forcina Hall 406
Th,9:30AM,10:50AM,Forcina Hall 424
Th,12:30PM,1:50PM,Forcina Hall 424
Th,11:00AM,12:20PM,Forcina Hall 424
Th,2:00PM,3:20PM,Forcina Hall 403
Th,2:00PM,3:20PM,Forcina Hall 410
Th,2:00PM,3:20PM,STEM Building 112
Th,3:30PM,4:50PM,STEM Building 112
Th,9:30AM,10:50AM,Forcina Hall 403
Th,12:30PM,1:50PM,Forcina Hall 406
Th,3:30PM,4:50PM,Forcina Hall 403
Th,8:00AM,9:20AM,Biology Building 209
Fr,3:30PM,4:50PM,Forcina Hall 403
Fr,3:30PM,4:50PM,Forcina Hall 424
Fr,9:30AM,10:50AM,Forcina Hall 409
Fr,11:00AM,12:20PM,Forcina Hall 424
Fr,2:00PM,3:20PM,Forcina Hall 424
Fr,9:30AM,10:50AM,STEM Building 112
Fr,11:00AM,12:20PM,STEM Building 112
Fr,2:00PM,3:20PM,STEM Building 112
Fr,9:30AM,10:50AM,Forcina Hall 403
Fr,11:00AM,12:20PM,Forcina Hall 403
Fr,11:00AM,12:20PM,Forcina Hall 410
Fr,2:00PM,3:20PM,Forcina Hall 410
Fr,2:00PM,3:20PM,Forcina Hall 403
Fr,3:30PM,4:50PM,Forcina Hall 410
Fr,2:00PM,3:20PM,Forcina Hall 406
Fr,3:30PM,4:50PM,Forcina Hall 406
Fr,9:30AM,10:50AM,Forcina Hall 406
Fr,11:00AM,12:20PM,Forcina Hall 406
Fr,3:30PM,4:50PM,STEM Building 112